ZipCode,county,state,Pediatric,Adult
35592,Lamar County,AL,94.67455621301775,NA
35802,Madison County,AL,NA,83.70786516853933
35962,DeKalb County,AL,68.63905325443787,NA
35976,Marshall County,AL,73.37278106508876,NA
36092,Elmore County,AL,64.49704142011834,NA
36274,Randolph County,AL,89.3491124260355,NA
85009,Maricopa County,AZ,10.650887573964498,NA
85705,Pima County,AZ,11.834319526627219,NA
85706,Pima County,AZ,NA,5.056179775280898
85746,Pima County,AZ,9.467455621301776,NA
86406,Mohave County,AZ,NA,61.79775280898876
86503,Apache County,AZ,NA,41.01123595505618
86505,Apache County,AZ,24.2603550295858,NA
86538,Apache County,AZ,NA,98.31460674157303
90001,Los Angeles County,CA,36.68639053254438,NA
90026,Los Angeles County,CA,50.29585798816568,NA
90027,Los Angeles County,CA,NA,73.03370786516854
90033,Los Angeles County,CA,40.828402366863905,NA
90047,Los Angeles County,CA,NA,23.595505617977526
90201,Los Angeles County,CA,16.56804733727811,NA
90254,Los Angeles County,CA,NA,94.9438202247191
90813,Los Angeles County,CA,NA,38.20224719101123
91605,Los Angeles County,CA,NA,59.55056179775281
92010,San Diego County,CA,98.22485207100591,NA
92346,San Bernardino County,CA,45.562130177514796,NA
92376,San Bernardino County,CA,NA,13.48314606741573
92509,Riverside County,CA,50.887573964497044,NA
92627,Orange County,CA,NA,29.213483146067414
92780,Orange County,CA,NA,45.50561797752809
93060,Ventura County,CA,31.360946745562128,NA
93308,Kern County,CA,57.396449704142015,NA
93646,Fresno County,CA,NA,96.62921348314607
93703,Fresno County,CA,28.402366863905325,NA
93955,Monterey County,CA,NA,50.56179775280899
94534,Solano County,CA,NA,80.89887640449437
94550,Alameda County,CA,NA,91.01123595505618
94555,Alameda County,CA,NA,84.26966292134831
94578,Alameda County,CA,39.053254437869825,NA
95023,San Benito County,CA,NA,33.70786516853933
95205,San Joaquin County,CA,NA,63.48314606741573
95206,San Joaquin County,CA,NA,29.775280898876407
95237,San Joaquin County,CA,98.81656804733728,NA
95330,San Joaquin County,CA,NA,92.69662921348315
95624,Sacramento County,CA,NA,58.98876404494382
95928,Butte County,CA,28.994082840236686,NA
95965,Butte County,CA,39.64497041420118,NA
95966,Butte County,CA,NA,44.9438202247191
95969,Butte County,CA,NA,35.39325842696629
95993,Sutter County,CA,NA,57.865168539325836
80128,Jefferson County,CO,NA,73.59550561797754
80224,Denver County,CO,NA,79.21348314606742
80751,Logan County,CO,NA,52.24719101123596
80907,El Paso County,CO,78.69822485207101,NA
80910,El Paso County,CO,35.50295857988166,NA
06062,Hartford County,CT,NA,71.91011235955057
06098,Litchfield County,CT,NA,60.67415730337079
06114,Hartford County,CT,NA,61.23595505617978
06120,Hartford County,CT,NA,62.92134831460674
06513,New Haven County,CT,13.609467455621301,NA
19962,Kent County,DE,93.49112426035504,NA
32168,Volusia County,FL,NA,76.40449438202246
32225,Duval County,FL,23.668639053254438,NA
32246,Duval County,FL,NA,23.03370786516854
32534,Escambia County,FL,76.92307692307693,NA
32548,Okaloosa County,FL,NA,82.02247191011236
32578,Okaloosa County,FL,NA,67.41573033707866
32615,Alachua County,FL,95.26627218934911,NA
32693,Gilchrist County,FL,NA,85.39325842696628
32746,Seminole County,FL,93.49112426035504,NA
33024,Broward County,FL,21.893491124260358,NA
33025,Broward County,FL,34.9112426035503,NA
33177,Miami-Dade County,FL,NA,54.49438202247191
33407,Palm Beach County,FL,36.09467455621302,NA
33765,Pinellas County,FL,NA,89.32584269662921
33870,Highlands County,FL,58.57988165680473,NA
33916,Lee County,FL,NA,48.87640449438202
34203,Manatee County,FL,47.337278106508876,NA
34207,Manatee County,FL,73.96449704142012,NA
34286,Sarasota County,FL,68.04733727810651,NA
34610,Pasco County,FL,63.31360946745562,NA
34668,Pasco County,FL,NA,17.415730337078653
34744,Osceola County,FL,24.2603550295858,NA
34787,Orange County,FL,NA,30.89887640449438
30012,Rockdale County,GA,59.171597633136095,NA
30101,Cobb County,GA,NA,32.02247191011236
30531,Habersham County,GA,90.53254437869822,NA
30909,Richmond County,GA,60.35502958579882,NA
31210,Bibb County,GA,78.10650887573965,NA
31707,Dougherty County,GA,78.69822485207101,NA
96720,Hawaii County,HI,NA,39.325842696629216
83605,Canyon County,ID,NA,74.71910112359551
83647,Elmore County,ID,NA,55.61797752808989
83661,Payette County,ID,84.61538461538461,NA
60021,McHenry County,IL,NA,98.87640449438202
60148,DuPage County,IL,NA,56.17977528089888
60181,DuPage County,IL,NA,80.33707865168539
60302,Cook County,IL,NA,39.8876404494382
46221,Marion County,IN,NA,34.831460674157306
46304,Porter County,IN,NA,18.53932584269663
46350,LaPorte County,IN,45.562130177514796,NA
46383,Porter County,IN,47.928994082840234,NA
46825,Allen County,IN,55.62130177514793,NA
46975,Fulton County,IN,72.18934911242604,NA
47421,Lawrence County,IN,NA,41.57303370786517
47591,Knox County,IN,NA,43.258426966292134
50311,Polk County,IA,NA,64.60674157303372
50320,Polk County,IA,NA,92.13483146067416
50322,Polk County,IA,76.33136094674556,NA
50325,Polk County,IA,99.40828402366864,NA
52601,Des Moines County,IA,NA,17.97752808988764
40216,Jefferson County,KY,32.544378698224854,NA
40419,Lincoln County,KY,82.24852071005917,NA
41501,Pike County,KY,NA,51.12359550561798
42141,Barren County,KY,12.42603550295858,NA
42330,Muhlenberg County,KY,75.14792899408283,NA
70094,Jefferson Parish,LA,4.733727810650888,NA
70122,Orleans Parish,LA,10.059171597633137,NA
70126,Orleans Parish,LA,31.952662721893493,NA
70364,Terrebonne Parish,LA,4.142011834319527,NA
70443,Tangipahoa Parish,LA,22.485207100591715,NA
70458,St. Tammany Parish,LA,NA,8.98876404494382
70506,Lafayette Parish,LA,NA,10.112359550561797
70548,Vermilion Parish,LA,54.437869822485204,NA
70663,Calcasieu Parish,LA,NA,11.797752808988763
70810,East Baton Rouge Parish,LA,NA,11.235955056179774
04005,York County,ME,NA,22.47191011235955
04072,York County,ME,55.62130177514793,NA
04901,Kennebec County,ME,NA,7.303370786516854
20706,Prince George's County,MD,100,NA
01005,Worcester County,MA,66.86390532544378,NA
01020,Hampden County,MA,NA,66.85393258426966
01108,Hampden County,MA,5.9171597633136095,NA
01109,Hampden County,MA,2.9585798816568047,NA
01301,Franklin County,MA,NA,15.730337078651685
01844,Essex County,MA,NA,28.08988764044944
01890,Middlesex County,MA,NA,53.93258426966292
01902,Essex County,MA,NA,0
02093,Norfolk County,MA,95.85798816568047,NA
02121,Suffolk County,MA,NA,0.5617977528089888
02150,Suffolk County,MA,NA,1.6853932584269662
02151,Suffolk County,MA,NA,2.8089887640449436
02554,Nantucket County,MA,52.662721893491124,NA
02648,Barnstable County,MA,NA,90.4494382022472
02744,Bristol County,MA,NA,47.19101123595505
02760,Bristol County,MA,NA,15.168539325842698
02777,Bristol County,MA,NA,37.07865168539326
48047,Macomb County,MI,NA,20.786516853932586
48060,St. Clair County,MI,37.278106508875744,NA
48120,Wayne County,MI,NA,97.19101123595506
48218,Wayne County,MI,79.88165680473372,NA
48393,Oakland County,MI,NA,89.8876404494382
48473,Genesee County,MI,NA,52.80898876404494
48503,Genesee County,MI,NA,25.842696629213485
49464,Ottawa County,MI,74.55621301775149,NA
49504,Kent County,MI,NA,21.910112359550563
55311,Hennepin County,MN,NA,75.28089887640449
55431,Hennepin County,MN,79.88165680473372,NA
55806,St. Louis County,MN,NA,33.146067415730336
56470,Hubbard County,MN,65.08875739644971,NA
38654,DeSoto County,MS,72.18934911242604,NA
39046,Madison County,MS,42.01183431952663,NA
39567,Jackson County,MS,NA,93.82022471910112
39648,Pike County,MS,NA,27.52808988764045
63051,Jefferson County,MO,NA,81.46067415730337
63077,Franklin County,MO,60.35502958579882,NA
63701,Cape Girardeau County,MO,NA,50
64080,Cass County,MO,NA,78.08988764044943
64093,Johnson County,MO,NA,42.13483146067416
64117,Clay County,MO,NA,46.06741573033708
64124,Jackson County,MO,49.112426035502956,NA
65026,Miller County,MO,61.53846153846154,84.8314606741573
65453,Crawford County,MO,82.24852071005917,NA
59715,Gallatin County,MT,NA,65.1685393258427
68137,Douglas County,NE,NA,65.73033707865169
89102,Clark County,NV,NA,64.04494382022472
03104,Hillsborough County,NH,NA,20.224719101123593
07052,Essex County,NJ,NA,56.74157303370787
07666,Bergen County,NJ,15.384615384615385,NA
07801,Morris County,NJ,26.627218934911244,NA
07828,Morris County,NJ,NA,70.2247191011236
07840,Warren County,NJ,NA,40.44943820224719
08638,Mercer County,NJ,18.93491124260355,NA
08753,Ocean County,NJ,NA,4.49438202247191
08865,Warren County,NJ,32.544378698224854,NA
87031,Valencia County,NM,NA,75.84269662921348
87416,San Juan County,NM,63.31360946745562,NA
87571,Taos County,NM,NA,67.97752808988764
87740,Colfax County,NM,87.57396449704143,NA
10458,Bronx County,NY,NA,1.1235955056179776
10573,Westchester County,NY,13.017751479289942,NA
10579,Putnam County,NY,NA,100
11220,Kings County,NY,3.5502958579881656,NA
11221,Kings County,NY,NA,24.15730337078652
11236,Kings County,NY,NA,6.179775280898876
11378,Queens County,NY,NA,78.65168539325843
11385,Queens County,NY,NA,14.04494382022472
11435,Queens County,NY,14.792899408284024,NA
12010,Montgomery County,NY,11.242603550295858,NA
12020,Saratoga County,NY,NA,26.96629213483146
12095,Fulton County,NY,NA,55.0561797752809
12180,Rensselaer County,NY,NA,3.932584269662921
12302,Schenectady County,NY,71.00591715976331,NA
12308,Schenectady County,NY,NA,47.752808988764045
12972,Clinton County,NY,NA,68.53932584269663
13045,Cortland County,NY,NA,48.31460674157304
13165,Seneca County,NY,NA,94.3820224719101
13317,Montgomery County,NY,97.0414201183432,NA
13367,Lewis County,NY,NA,49.43820224719101
13460,Chenango County,NY,NA,62.35955056179775
14108,Niagara County,NY,NA,69.10112359550563
14220,Erie County,NY,NA,19.662921348314608
14424,Ontario County,NY,76.92307692307693,NA
14605,Monroe County,NY,NA,12.921348314606742
14606,Monroe County,NY,42.60355029585799,NA
14621,Monroe County,NY,NA,2.247191011235955
27020,Yadkin County,NC,96.44970414201184,NA
27526,Wake County,NC,NA,32.58426966292135
27704,Durham County,NC,NA,16.292134831460675
27948,Dare County,NC,84.02366863905326,NA
28092,Lincoln County,NC,44.97041420118343,NA
28348,Cumberland County,NC,37.8698224852071,NA
28384,Bladen County,NC,NA,74.15730337078652
28655,Burke County,NC,NA,8.426966292134832
28658,Catawba County,NC,83.4319526627219,NA
28716,Haywood County,NC,59.76331360946746,NA
28904,Clay County,NC,91.71597633136095,NA
43004,Franklin County,OH,38.46153846153847,NA
43023,Licking County,OH,NA,96.06741573033707
43055,Licking County,OH,8.284023668639055,NA
43201,Franklin County,OH,NA,57.30337078651685
43204,Franklin County,OH,0.591715976331361,NA
43223,Franklin County,OH,1.7751479289940828,9.550561797752808
43224,Franklin County,OH,2.366863905325444,NA
43506,Williams County,OH,NA,30.337078651685395
43512,Defiance County,OH,NA,6.741573033707865
43526,Defiance County,OH,55.02958579881657,NA
43613,Lucas County,OH,NA,26.40449438202247
43812,Coshocton County,OH,NA,7.865168539325842
43935,Belmont County,OH,NA,58.42696629213483
43947,Belmont County,OH,87.57396449704143,NA
44041,Ashtabula County,OH,40.23668639053255,NA
44057,Lake County,OH,20.118343195266274,NA
44102,Cuyahoga County,OH,0,NA
44105,Cuyahoga County,OH,5.325443786982249,NA
44113,Cuyahoga County,OH,51.4792899408284,NA
44115,Cuyahoga County,OH,88.75739644970415,NA
44134,Cuyahoga County,OH,NA,10.674157303370785
44135,Cuyahoga County,OH,20.710059171597635,NA
44139,Cuyahoga County,OH,NA,87.64044943820225
44305,Summit County,OH,NA,20.786516853932586
44319,Summit County,OH,43.786982248520715,NA
44663,Tuscarawas County,OH,15.976331360946746,NA
44720,Stark County,OH,53.25443786982249,NA
44820,Crawford County,OH,17.75147928994083,NA
44870,Erie County,OH,NA,3.3707865168539324
45044,Butler County,OH,7.6923076923076925,NA
45120,Clermont County,OH,NA,97.75280898876404
45236,Hamilton County,OH,NA,66.29213483146067
45662,Scioto County,OH,8.875739644970414,NA
45690,Pike County,OH,NA,24.719101123595504
73018,Grady County,OK,65.68047337278107,NA
73034,Oklahoma County,OK,86.3905325443787,NA
73106,Oklahoma County,OK,NA,85.95505617977528
73401,Carter County,OK,NA,19.101123595505616
74464,Cherokee County,OK,NA,12.359550561797752
74820,Pontotoc County,OK,21.301775147928996,NA
97214,Multnomah County,OR,NA,87.07865168539325
15223,Allegheny County,PA,NA,95.50561797752809
15425,Fayette County,PA,66.27218934911244,NA
15683,Westmoreland County,PA,81.65680473372781,NA
16001,Butler County,PA,NA,5.617977528089887
16201,Armstrong County,PA,NA,35.95505617977528
17013,Cumberland County,PA,NA,28.651685393258425
17033,Dauphin County,PA,NA,37.640449438202246
17112,Dauphin County,PA,NA,25.280898876404496
17406,York County,PA,NA,42.69662921348314
17901,Schuylkill County,PA,57.98816568047337,NA
18042,Northampton County,PA,27.810650887573964,NA
18103,Lehigh County,PA,19.526627218934912,70.78651685393258
18944,Bucks County,PA,97.63313609467455,NA
19050,Delaware County,PA,NA,34.26966292134831
19061,Delaware County,PA,56.80473372781065,NA
19606,Berks County,PA,53.84615384615385,NA
29115,Orangeburg County,SC,NA,44.38202247191011
29160,Lexington County,SC,NA,93.25842696629213
29210,Richland County,SC,69.8224852071006,NA
29461,Berkeley County,SC,NA,38.764044943820224
57772,Shannon County,SD,85.79881656804734,NA
37013,Davidson County,TN,NA,14.606741573033707
37033,Hickman County,TN,89.3491124260355,NA
37664,Sullivan County,TN,61.53846153846154,NA
37716,Anderson County,TN,NA,46.62921348314607
37814,Hamblen County,TN,NA,35.95505617977528
37874,Monroe County,TN,NA,86.51685393258427
37876,Sevier County,TN,41.42011834319527,NA
37923,Knox County,TN,81.06508875739645,NA
38053,Shelby County,TN,NA,60.1123595505618
38063,Lauderdale County,TN,NA,53.37078651685393
38116,Shelby County,TN,25.443786982248522,NA
38555,Cumberland County,TN,84.61538461538461,NA
75050,Dallas County,TX,29.585798816568047,NA
75051,Dallas County,TX,30.17751479289941,NA
75212,Dallas County,TX,33.72781065088758,NA
76002,Tarrant County,TX,NA,69.66292134831461
76020,Tarrant County,TX,NA,77.52808988764045
76105,Tarrant County,TX,27.218934911242602,NA
76131,Tarrant County,TX,75.7396449704142,NA
76502,Bell County,TX,23.076923076923077,NA
76543,Bell County,TX,46.74556213017752,NA
77074,Harris County,TX,NA,91.57303370786516
77086,Harris County,TX,49.112426035502956,NA
77429,Harris County,TX,NA,16.853932584269664
77437,Wharton County,TX,NA,79.7752808988764
77511,Brazoria County,TX,14.201183431952662,NA
78041,Webb County,TX,34.319526627218934,NA
78245,Bexar County,TX,26.035502958579883,NA
78412,Nueces County,TX,42.60355029585799,NA
78574,Hidalgo County,TX,1.183431952662722,NA
79102,Potter County,TX,92.3076923076923,NA
79103,Potter County,TX,71.59763313609467,NA
79336,Hockley County,TX,69.8224852071006,NA
79411,Lubbock County,TX,NA,99.43820224719101
20164,Loudoun County,VA,68.63905325443787,NA
20191,Fairfax County,VA,NA,88.20224719101124
22153,Fairfax County,VA,NA,71.34831460674157
22701,Culpeper County,VA,NA,31.46067415730337
22802,Harrisonburg city,VA,43.786982248520715,NA
23111,Hanover County,VA,47.928994082840234,NA
23224,Richmond city,VA,18.34319526627219,NA
24450,Rockbridge County,VA,NA,88.76404494382022
98290,Snohomish County,WA,92.89940828402366,NA
98371,Pierce County,WA,NA,82.58426966292134
98584,Mason County,WA,62.721893491124256,NA
98597,Thurston County,WA,NA,83.14606741573034
98682,Clark County,WA,NA,72.47191011235955
99207,Spokane County,WA,91.12426035502959,NA
99301,Franklin County,WA,6.508875739644971,NA
97003,NA,NA,66.86390532544378,NA
24701,Mercer County,WV,NA,76.96629213483146
53094,Jefferson County,WI,86.98224852071006,NA
53172,Milwaukee County,WI,NA,43.82022471910113
53209,Milwaukee County,WI,17.159763313609467,NA
53214,Milwaukee County,WI,30.76923076923077,NA
53215,Milwaukee County,WI,7.100591715976331,NA
53405,Racine County,WI,52.071005917159766,NA
54701,Eau Claire County,WI,NA,51.68539325842697
